Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,1010284,OPTCUR,PE,81.9,USDINR202370781.9PE,USDINR202370781.9PE,USDINR 07JUL23 81.9 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010285,OPTCUR,CE,81.8,USDINR202370781.8CE,USDINR202370781.8CE,USDINR 07JUL23 81.8 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010286,OPTCUR,PE,81.8,USDINR202370781.8PE,USDINR202370781.8PE,USDINR 07JUL23 81.8 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010287,OPTCUR,CE,81.7,USDINR202370781.7CE,USDINR202370781.7CE,USDINR 07JUL23 81.7 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010288,OPTCUR,PE,81.7,USDINR202370781.7PE,USDINR202370781.7PE,USDINR 07JUL23 81.7 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010289,OPTCUR,CE,81.6,USDINR202370781.6CE,USDINR202370781.6CE,USDINR 07JUL23 81.6 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010290,OPTCUR,PE,81.6,USDINR202370781.6PE,USDINR202370781.6PE,USDINR 07JUL23 81.6 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113183,OPTCUR,CE,81.5,USDINR202370781.5CE,USDINR202370781.5CE,USDINR 07JUL23 81.5 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113176,OPTCUR,PE,81.5,USDINR202370781.5PE,USDINR202370781.5PE,USDINR 07JUL23 81.5 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010291,OPTCUR,CE,81.4,USDINR202370781.4CE,USDINR202370781.4CE,USDINR 07JUL23 81.4 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010292,OPTCUR,PE,81.4,USDINR202370781.4PE,USDINR202370781.4PE,USDINR 07JUL23 81.4 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010293,OPTCUR,CE,81.3,USDINR202370781.3CE,USDINR202370781.3CE,USDINR 07JUL23 81.3 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010294,OPTCUR,PE,81.3,USDINR202370781.3PE,USDINR202370781.3PE,USDINR 07JUL23 81.3 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010295,OPTCUR,CE,81.2,USDINR202370781.2CE,USDINR202370781.2CE,USDINR 07JUL23 81.2 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010296,OPTCUR,PE,81.2,USDINR202370781.2PE,USDINR202370781.2PE,USDINR 07JUL23 81.2 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010297,OPTCUR,CE,81.1,USDINR202370781.1CE,USDINR202370781.1CE,USDINR 07JUL23 81.1 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010298,OPTCUR,PE,81.1,USDINR202370781.1PE,USDINR202370781.1PE,USDINR 07JUL23 81.1 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113200,OPTCUR,CE,81,USDINR202370781.0CE,USDINR202370781.0CE,USDINR 07JUL23 81.0 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113193,OPTCUR,PE,81,USDINR202370781.0PE,USDINR202370781.0PE,USDINR 07JUL23 81.0 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010299,OPTCUR,CE,80.9,USDINR202370780.9CE,USDINR202370780.9CE,USDINR 07JUL23 80.9 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010300,OPTCUR,PE,80.9,USDINR202370780.9PE,USDINR202370780.9PE,USDINR 07JUL23 80.9 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010301,OPTCUR,CE,80.8,USDINR202370780.8CE,USDINR202370780.8CE,USDINR 07JUL23 80.8 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010302,OPTCUR,PE,80.8,USDINR202370780.8PE,USDINR202370780.8PE,USDINR 07JUL23 80.8 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010303,OPTCUR,CE,80.7,USDINR202370780.7CE,USDINR202370780.7CE,USDINR 07JUL23 80.7 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010304,OPTCUR,PE,80.7,USDINR202370780.7PE,USDINR202370780.7PE,USDINR 07JUL23 80.7 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010305,OPTCUR,CE,80.6,USDINR202370780.6CE,USDINR202370780.6CE,USDINR 07JUL23 80.6 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010306,OPTCUR,PE,80.6,USDINR202370780.6PE,USDINR202370780.6PE,USDINR 07JUL23 80.6 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2112999,OPTCUR,CE,80.5,USDINR202370780.5CE,USDINR202370780.5CE,USDINR 07JUL23 80.5 CE,2023-07-07,1,0.0025
