id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
8065,CDS,cde_fo,JPYINR,12342,OPTCUR,CE,53.75,JPYINR21JULY2353.75CE,JPYINR2372153.75CE,JPYINR 21JUL23 53.75 CE,21-07-2023,1,0.0025,53,75,53.75
8066,CDS,cde_fo,JPYINR,12343,OPTCUR,PE,53.75,JPYINR21JULY2353.75PE,JPYINR2372153.75PE,JPYINR 21JUL23 53.75 PE,21-07-2023,1,0.0025,53,75,53.75
8067,CDS,cde_fo,JPYINR,12344,OPTCUR,CE,53.75,JPYINR28JULY2353.75CE,JPYINR2372853.75CE,JPYINR 28JUL23 53.75 CE,28-07-2023,1,0.0025,53,75,53.75
8068,CDS,cde_fo,JPYINR,12345,OPTCUR,PE,53.75,JPYINR28JULY2353.75PE,JPYINR2372853.75PE,JPYINR 28JUL23 53.75 PE,28-07-2023,1,0.0025,53,75,53.75
8069,CDS,cde_fo,JPYINR,12346,OPTCUR,CE,53.75,JPYINR04AUGUST2353.75CE,JPYINR2380453.75CE,JPYINR 04AUG23 53.75 CE,04-08-2023,1,0.0025,53,75,53.75
8070,CDS,cde_fo,JPYINR,12347,OPTCUR,PE,53.75,JPYINR04AUGUST2353.75PE,JPYINR2380453.75PE,JPYINR 04AUG23 53.75 PE,04-08-2023,1,0.0025,53,75,53.75
8071,CDS,cde_fo,USDINR,12350,OPTCUR,CE,82.5,USDINR08SEPTEMBER2382.5CE,USDINR2390882.5CE,USDINR 08SEP23 82.5 CE,08-09-2023,1,0.0025,82,5,82.5
8072,CDS,cde_fo,USDINR,12351,OPTCUR,PE,82.5,USDINR08SEPTEMBER2382.5PE,USDINR2390882.5PE,USDINR 08SEP23 82.5 PE,08-09-2023,1,0.0025,82,5,82.5
8073,CDS,cde_fo,JPYINR,12352,OPTCUR,CE,61.25,JPYINR26JUNE2461.25CE,JPYINR24JUN61.25CE,JPYINR 26JUN24 61.25 CE,26-06-2024,1,0.0025,61,25,61.25
8074,CDS,cde_fo,JPYINR,12353,OPTCUR,PE,61.25,JPYINR26JUNE2461.25PE,JPYINR24JUN61.25PE,JPYINR 26JUN24 61.25 PE,26-06-2024,1,0.0025,61,25,61.25
8075,CDS,cde_fo,USDINR,12356,OPTCUR,CE,88.75,USDINR07JULY2388.75CE,USDINR2370788.75CE,USDINR 07JUL23 88.75 CE,07-07-2023,1,0.0025,88,75,88.75
8076,CDS,cde_fo,USDINR,12357,OPTCUR,PE,88.75,USDINR07JULY2388.75PE,USDINR2370788.75PE,USDINR 07JUL23 88.75 PE,07-07-2023,1,0.0025,88,75,88.75
8077,CDS,cde_fo,USDINR,12358,OPTCUR,CE,88.75,USDINR14JULY2388.75CE,USDINR2371488.75CE,USDINR 14JUL23 88.75 CE,14-07-2023,1,0.0025,88,75,88.75
8078,CDS,cde_fo,USDINR,12359,OPTCUR,PE,88.75,USDINR14JULY2388.75PE,USDINR2371488.75PE,USDINR 14JUL23 88.75 PE,14-07-2023,1,0.0025,88,75,88.75
8079,CDS,cde_fo,USDINR,12360,OPTCUR,CE,88.75,USDINR21JULY2388.75CE,USDINR2372188.75CE,USDINR 21JUL23 88.75 CE,21-07-2023,1,0.0025,88,75,88.75
8080,CDS,cde_fo,USDINR,12361,OPTCUR,PE,88.75,USDINR21JULY2388.75PE,USDINR2372188.75PE,USDINR 21JUL23 88.75 PE,21-07-2023,1,0.0025,88,75,88.75
8081,CDS,cde_fo,USDINR,12362,OPTCUR,CE,88.75,USDINR27JULY2388.75CE,USDINR23JUL88.75CE,USDINR 27JUL23 88.75 CE,27-07-2023,1,0.0025,88,75,88.75
8082,CDS,cde_fo,USDINR,12363,OPTCUR,PE,88.75,USDINR27JULY2388.75PE,USDINR23JUL88.75PE,USDINR 27JUL23 88.75 PE,27-07-2023,1,0.0025,88,75,88.75
8083,CDS,cde_fo,USDINR,12364,OPTCUR,CE,88.75,USDINR28JULY2388.75CE,USDINR2372888.75CE,USDINR 28JUL23 88.75 CE,28-07-2023,1,0.0025,88,75,88.75
8084,CDS,cde_fo,USDINR,12365,OPTCUR,PE,88.75,USDINR28JULY2388.75PE,USDINR2372888.75PE,USDINR 28JUL23 88.75 PE,28-07-2023,1,0.0025,88,75,88.75
8085,CDS,cde_fo,USDINR,12366,OPTCUR,CE,88.75,USDINR04AUGUST2388.75CE,USDINR2380488.75CE,USDINR 04AUG23 88.75 CE,04-08-2023,1,0.0025,88,75,88.75
8086,CDS,cde_fo,USDINR,12367,OPTCUR,PE,88.75,USDINR04AUGUST2388.75PE,USDINR2380488.75PE,USDINR 04AUG23 88.75 PE,04-08-2023,1,0.0025,88,75,88.75
8087,CDS,cde_fo,USDINR,12368,OPTCUR,CE,88.75,USDINR27MARCH2488.75CE,USDINR24MAR88.75CE,USDINR 27MAR24 88.75 CE,27-03-2024,1,0.0025,88,75,88.75
8088,CDS,cde_fo,USDINR,12369,OPTCUR,PE,88.75,USDINR27MARCH2488.75PE,USDINR24MAR88.75PE,USDINR 27MAR24 88.75 PE,27-03-2024,1,0.0025,88,75,88.75
8089,CDS,cde_fo,USDJPY,12372,OPTCUR,CE,150.5,USDJPY27JULY23150.5CE,USDJPY23JUL150.5CE,USDJPY 27JUL23 150.5 CE,27-07-2023,1,0.01,150,5,150.5
8090,CDS,cde_fo,USDJPY,12373,OPTCUR,PE,150.5,USDJPY27JULY23150.5PE,USDJPY23JUL150.5PE,USDJPY 27JUL23 150.5 PE,27-07-2023,1,0.01,150,5,150.5
8091,CDS,cde_fo,USDJPY,12374,OPTCUR,CE,150.5,USDJPY27DECEMBER23150.5CE,USDJPY23DEC150.5CE,USDJPY 27DEC23 150.5 CE,27-12-2023,1,0.01,150,5,150.5
8092,CDS,cde_fo,USDJPY,12377,OPTCUR,PE,150.5,USDJPY27DECEMBER23150.5PE,USDJPY23DEC150.5PE,USDJPY 27DEC23 150.5 PE,27-12-2023,1,0.01,150,5,150.5
8093,CDS,cde_fo,USDJPY,12378,OPTCUR,CE,150.5,USDJPY27MARCH24150.5CE,USDJPY24MAR150.5CE,USDJPY 27MAR24 150.5 CE,27-03-2024,1,0.01,150,5,150.5
8094,CDS,cde_fo,USDJPY,12379,OPTCUR,PE,150.5,USDJPY27MARCH24150.5PE,USDJPY24MAR150.5PE,USDJPY 27MAR24 150.5 PE,27-03-2024,1,0.01,150,5,150.5
8095,CDS,cde_fo,JPYINR,12380,OPTCUR,PE,54.5,JPYINR11AUGUST2354.5PE,JPYINR2381154.5PE,JPYINR 11AUG23 54.5 PE,11-08-2023,1,0.0025,54,5,54.5
8096,CDS,cde_fo,JPYINR,12381,OPTCUR,CE,54.75,JPYINR11AUGUST2354.75CE,JPYINR2381154.75CE,JPYINR 11AUG23 54.75 CE,11-08-2023,1,0.0025,54,75,54.75
8097,CDS,cde_fo,JPYINR,12382,OPTCUR,PE,54.75,JPYINR11AUGUST2354.75PE,JPYINR2381154.75PE,JPYINR 11AUG23 54.75 PE,11-08-2023,1,0.0025,54,75,54.75
