Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,ALUMINI,253807,FUTCOM,,0,ALUMINI23JULFUT,ALUMINI23JULFUT,ALUMINI 31JUL23 FUT,2023-07-31,1,0.05,150
MCX,mcx_fo,MENTHAOIL,253808,FUTCOM,,0,MENTHAOIL23AUGFUT,MENTHAOIL23AUGFUT,MENTHAOIL 31AUG23 FUT,2023-08-31,360,0.1,50
MCX,mcx_fo,SILVERMIC,253811,FUTCOM,,0,SILVERMIC23NOVFUT,SILVERMIC23NOVFUT,SILVERMIC 30NOV23 FUT,2023-11-30,1,1.0,600
MCX,mcx_fo,ZINC,253817,FUTCOM,,0,ZINC23JULFUT,ZINC23JULFUT,ZINC 31JUL23 FUT,2023-07-31,5,0.05,20
MCX,mcx_fo,ZINCMINI,253819,FUTCOM,,0,ZINCMINI23JULFUT,ZINCMINI23JULFUT,ZINCMINI 31JUL23 FUT,2023-07-31,1,0.05,100
MCX,mcx_fo,SILVER,254580,OPTFUT,CE,76250,SILVER24FEB76250CE,SILVER24FEB76250CE,SILVER 23FEB24 76250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254581,OPTFUT,PE,76250,SILVER24FEB76250PE,SILVER24FEB76250PE,SILVER 23FEB24 76250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254582,OPTFUT,CE,76500,SILVER24FEB76500CE,SILVER24FEB76500CE,SILVER 23FEB24 76500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254583,OPTFUT,PE,76500,SILVER24FEB76500PE,SILVER24FEB76500PE,SILVER 23FEB24 76500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254584,OPTFUT,CE,76750,SILVER24FEB76750CE,SILVER24FEB76750CE,SILVER 23FEB24 76750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254585,OPTFUT,PE,76750,SILVER24FEB76750PE,SILVER24FEB76750PE,SILVER 23FEB24 76750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254586,OPTFUT,CE,77000,SILVER24FEB77000CE,SILVER24FEB77000CE,SILVER 23FEB24 77000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254587,OPTFUT,PE,77000,SILVER24FEB77000PE,SILVER24FEB77000PE,SILVER 23FEB24 77000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254588,OPTFUT,CE,77250,SILVER24FEB77250CE,SILVER24FEB77250CE,SILVER 23FEB24 77250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254589,OPTFUT,PE,77250,SILVER24FEB77250PE,SILVER24FEB77250PE,SILVER 23FEB24 77250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254590,OPTFUT,CE,77500,SILVER24FEB77500CE,SILVER24FEB77500CE,SILVER 23FEB24 77500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254591,OPTFUT,PE,77500,SILVER24FEB77500PE,SILVER24FEB77500PE,SILVER 23FEB24 77500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254592,OPTFUT,CE,77750,SILVER24FEB77750CE,SILVER24FEB77750CE,SILVER 23FEB24 77750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254593,OPTFUT,PE,77750,SILVER24FEB77750PE,SILVER24FEB77750PE,SILVER 23FEB24 77750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254903,OPTFUT,CE,78000,SILVER24FEB78000CE,SILVER24FEB78000CE,SILVER 23FEB24 78000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254904,OPTFUT,PE,78000,SILVER24FEB78000PE,SILVER24FEB78000PE,SILVER 23FEB24 78000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254905,OPTFUT,CE,78250,SILVER24FEB78250CE,SILVER24FEB78250CE,SILVER 23FEB24 78250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254906,OPTFUT,PE,78250,SILVER24FEB78250PE,SILVER24FEB78250PE,SILVER 23FEB24 78250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254907,OPTFUT,CE,78500,SILVER24FEB78500CE,SILVER24FEB78500CE,SILVER 23FEB24 78500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254908,OPTFUT,PE,78500,SILVER24FEB78500PE,SILVER24FEB78500PE,SILVER 23FEB24 78500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254909,OPTFUT,CE,78750,SILVER24FEB78750CE,SILVER24FEB78750CE,SILVER 23FEB24 78750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254910,OPTFUT,PE,78750,SILVER24FEB78750PE,SILVER24FEB78750PE,SILVER 23FEB24 78750 PE,2024-02-23,30,0.5,20
